/usr/bin/python /Users/Dipendra/MLearning/Kaggle/CIFAR-10/convolutional_mlp.py
... loading data
... building the model
... training
epoch 1, minibatch 400/400, validation error 89.870000 %
     epoch 1, minibatch 400/400, test error of best model 89.880000 %
epoch 2, minibatch 400/400, validation error 89.760000 %
     epoch 2, minibatch 400/400, test error of best model 89.850000 %
epoch 3, minibatch 400/400, validation error 89.840000 %
epoch 4, minibatch 400/400, validation error 89.790000 %
epoch 5, minibatch 400/400, validation error 89.820000 %
epoch 6, minibatch 400/400, validation error 89.820000 %
epoch 7, minibatch 400/400, validation error 89.510000 %
     epoch 7, minibatch 400/400, test error of best model 89.910000 %
epoch 8, minibatch 400/400, validation error 89.720000 %
epoch 9, minibatch 400/400, validation error 89.650000 %
epoch 10, minibatch 400/400, validation error 89.750000 %
epoch 11, minibatch 400/400, validation error 89.820000 %
epoch 12, minibatch 400/400, validation error 89.580000 %
epoch 13, minibatch 400/400, validation error 89.720000 %
epoch 14, minibatch 400/400, validation error 89.820000 %
epoch 15, minibatch 400/400, validation error 89.770000 %
epoch 16, minibatch 400/400, validation error 89.660000 %
epoch 17, minibatch 400/400, validation error 89.790000 %
epoch 18, minibatch 400/400, validation error 89.830000 %
epoch 19, minibatch 400/400, validation error 89.440000 %
     epoch 19, minibatch 400/400, test error of best model 89.460000 %
epoch 20, minibatch 400/400, validation error 87.840000 %
     epoch 20, minibatch 400/400, test error of best model 87.970000 %
epoch 21, minibatch 400/400, validation error 83.890000 %
     epoch 21, minibatch 400/400, test error of best model 84.750000 %
epoch 22, minibatch 400/400, validation error 73.480000 %
     epoch 22, minibatch 400/400, test error of best model 74.230000 %
epoch 23, minibatch 400/400, validation error 68.850000 %
     epoch 23, minibatch 400/400, test error of best model 68.910000 %
epoch 24, minibatch 400/400, validation error 66.290000 %
     epoch 24, minibatch 400/400, test error of best model 67.050000 %
epoch 25, minibatch 400/400, validation error 63.060000 %
     epoch 25, minibatch 400/400, test error of best model 62.740000 %
epoch 26, minibatch 400/400, validation error 64.750000 %
epoch 27, minibatch 400/400, validation error 59.000000 %
     epoch 27, minibatch 400/400, test error of best model 59.770000 %
epoch 28, minibatch 400/400, validation error 55.310000 %
     epoch 28, minibatch 400/400, test error of best model 56.260000 %
epoch 29, minibatch 400/400, validation error 52.950000 %
     epoch 29, minibatch 400/400, test error of best model 53.660000 %
epoch 30, minibatch 400/400, validation error 50.480000 %
     epoch 30, minibatch 400/400, test error of best model 51.320000 %
epoch 31, minibatch 400/400, validation error 50.050000 %
     epoch 31, minibatch 400/400, test error of best model 50.420000 %
epoch 32, minibatch 400/400, validation error 47.170000 %
     epoch 32, minibatch 400/400, test error of best model 47.560000 %
epoch 33, minibatch 400/400, validation error 45.020000 %
     epoch 33, minibatch 400/400, test error of best model 45.520000 %
epoch 34, minibatch 400/400, validation error 47.970000 %
epoch 35, minibatch 400/400, validation error 43.360000 %
     epoch 35, minibatch 400/400, test error of best model 44.450000 %
epoch 36, minibatch 400/400, validation error 43.470000 %
epoch 37, minibatch 400/400, validation error 43.070000 %
     epoch 37, minibatch 400/400, test error of best model 42.780000 %
epoch 38, minibatch 400/400, validation error 41.870000 %
     epoch 38, minibatch 400/400, test error of best model 42.650000 %
epoch 39, minibatch 400/400, validation error 41.480000 %
     epoch 39, minibatch 400/400, test error of best model 42.660000 %
epoch 40, minibatch 400/400, validation error 40.570000 %
     epoch 40, minibatch 400/400, test error of best model 41.120000 %
epoch 41, minibatch 400/400, validation error 40.250000 %
     epoch 41, minibatch 400/400, test error of best model 40.590000 %
epoch 42, minibatch 400/400, validation error 40.510000 %
epoch 43, minibatch 400/400, validation error 39.940000 %
     epoch 43, minibatch 400/400, test error of best model 40.730000 %
epoch 44, minibatch 400/400, validation error 39.580000 %
     epoch 44, minibatch 400/400, test error of best model 39.560000 %
epoch 45, minibatch 400/400, validation error 38.850000 %
     epoch 45, minibatch 400/400, test error of best model 39.100000 %
epoch 46, minibatch 400/400, validation error 38.720000 %
     epoch 46, minibatch 400/400, test error of best model 39.020000 %
epoch 47, minibatch 400/400, validation error 38.650000 %
     epoch 47, minibatch 400/400, test error of best model 39.620000 %
epoch 48, minibatch 400/400, validation error 37.910000 %
     epoch 48, minibatch 400/400, test error of best model 38.440000 %
epoch 49, minibatch 400/400, validation error 38.350000 %
epoch 50, minibatch 400/400, validation error 38.500000 %
epoch 51, minibatch 400/400, validation error 38.020000 %
epoch 52, minibatch 400/400, validation error 37.400000 %
     epoch 52, minibatch 400/400, test error of best model 38.790000 %
epoch 53, minibatch 400/400, validation error 38.120000 %
epoch 54, minibatch 400/400, validation error 37.900000 %
epoch 55, minibatch 400/400, validation error 38.740000 %
epoch 56, minibatch 400/400, validation error 37.440000 %
epoch 57, minibatch 400/400, validation error 37.850000 %
epoch 58, minibatch 400/400, validation error 37.240000 %
     epoch 58, minibatch 400/400, test error of best model 38.670000 %
epoch 59, minibatch 400/400, validation error 37.810000 %
epoch 60, minibatch 400/400, validation error 37.350000 %
epoch 61, minibatch 400/400, validation error 37.440000 %
epoch 62, minibatch 400/400, validation error 37.840000 %
epoch 63, minibatch 400/400, validation error 37.930000 %
epoch 64, minibatch 400/400, validation error 38.060000 %
