Using normal distribution initialization with 24,60, sigmoid and ZCA

/usr/bin/python /Users/Dipendra/MLearning/Kaggle/CIFAR-10/convolutional_mlp.py
... loading data
... building the model
... training
epoch 1, minibatch 400/400, validation error 86.420000 %
     epoch 1, minibatch 400/400, test error of best model 86.640000 %
epoch 2, minibatch 400/400, validation error 78.470000 %
     epoch 2, minibatch 400/400, test error of best model 78.210000 %
epoch 3, minibatch 400/400, validation error 72.050000 %
     epoch 3, minibatch 400/400, test error of best model 73.160000 %
epoch 4, minibatch 400/400, validation error 70.400000 %
     epoch 4, minibatch 400/400, test error of best model 69.870000 %
epoch 5, minibatch 400/400, validation error 66.550000 %
     epoch 5, minibatch 400/400, test error of best model 66.430000 %
epoch 6, minibatch 400/400, validation error 63.840000 %
     epoch 6, minibatch 400/400, test error of best model 63.500000 %
epoch 7, minibatch 400/400, validation error 63.830000 %
     epoch 7, minibatch 400/400, test error of best model 63.390000 %
epoch 8, minibatch 400/400, validation error 62.850000 %
     epoch 8, minibatch 400/400, test error of best model 62.630000 %
epoch 9, minibatch 400/400, validation error 57.230000 %
     epoch 9, minibatch 400/400, test error of best model 57.490000 %
epoch 10, minibatch 400/400, validation error 54.000000 %
     epoch 10, minibatch 400/400, test error of best model 54.340000 %
epoch 11, minibatch 400/400, validation error 56.520000 %
epoch 12, minibatch 400/400, validation error 54.990000 %
epoch 13, minibatch 400/400, validation error 52.130000 %
     epoch 13, minibatch 400/400, test error of best model 52.570000 %
epoch 14, minibatch 400/400, validation error 53.220000 %
epoch 15, minibatch 400/400, validation error 48.220000 %
     epoch 15, minibatch 400/400, test error of best model 48.250000 %
epoch 16, minibatch 400/400, validation error 47.000000 %
     epoch 16, minibatch 400/400, test error of best model 47.690000 %
epoch 17, minibatch 400/400, validation error 46.340000 %
     epoch 17, minibatch 400/400, test error of best model 46.300000 %
epoch 18, minibatch 400/400, validation error 46.450000 %
epoch 19, minibatch 400/400, validation error 44.320000 %
     epoch 19, minibatch 400/400, test error of best model 44.970000 %
epoch 20, minibatch 400/400, validation error 44.580000 %
epoch 21, minibatch 400/400, validation error 43.870000 %
     epoch 21, minibatch 400/400, test error of best model 43.510000 %
epoch 22, minibatch 400/400, validation error 43.420000 %
     epoch 22, minibatch 400/400, test error of best model 44.190000 %
epoch 23, minibatch 400/400, validation error 44.900000 %
epoch 24, minibatch 400/400, validation error 41.920000 %
     epoch 24, minibatch 400/400, test error of best model 42.450000 %
epoch 25, minibatch 400/400, validation error 41.150000 %
     epoch 25, minibatch 400/400, test error of best model 42.120000 %
epoch 26, minibatch 400/400, validation error 41.710000 %
epoch 27, minibatch 400/400, validation error 40.460000 %
     epoch 27, minibatch 400/400, test error of best model 40.710000 %
epoch 28, minibatch 400/400, validation error 40.980000 %
epoch 29, minibatch 400/400, validation error 40.870000 %
epoch 30, minibatch 400/400, validation error 41.280000 %
epoch 31, minibatch 400/400, validation error 40.760000 %
epoch 32, minibatch 400/400, validation error 41.110000 %
epoch 33, minibatch 400/400, validation error 41.740000 %
epoch 34, minibatch 400/400, validation error 40.760000 %
epoch 35, minibatch 400/400, validation error 40.460000 %
     epoch 35, minibatch 400/400, test error of best model 40.970000 %
epoch 36, minibatch 400/400, validation error 40.370000 %
     epoch 36, minibatch 400/400, test error of best model 40.420000 %
epoch 37, minibatch 400/400, validation error 40.570000 %
epoch 38, minibatch 400/400, validation error 40.970000 %
epoch 39, minibatch 400/400, validation error 40.590000 %
epoch 40, minibatch 400/400, validation error 40.400000 %
epoch 41, minibatch 400/400, validation error 40.300000 %
